date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:52	75285/75285	---M--	200	added ('OK')	image/jpeg	etag:%2206a882abd5cd673106d8d59ca66386fe%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13356/data/thumb/s-5.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13356/data/thumb/s-5.jpg	(from https://blog.nxtinteractive.sg/blog/category/experential)
14:12:53	42309/42309	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:32:35%20GMT	https://blog.nxtinteractive.sg/blog/metaverse-virtual-office-spaces	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/metaverse-virtual-office-spaces.html	(from https://blog.nxtinteractive.sg/blog/category/experential)
14:12:55	51450/51450	---M--	200	added ('OK')	image/jpeg	etag:%220512e166d0feca15ec7193e84cee3723%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13329/data/thumb/s-8.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13329/data/thumb/s-8.jpg	(from https://blog.nxtinteractive.sg/blog/category/experential)
14:12:56	44377/44377	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202022%2008:32:38%20GMT	https://blog.nxtinteractive.sg/blog/how-to-use-nfts-in-metaverse-a-beginner-s-guide	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/blog.nxtinteractive.sg/blog/how-to-use-nfts-in-metaverse-a-beginner-s-guide.html	(from https://blog.nxtinteractive.sg/blog/category/experential)
14:12:57	253305/253305	---M--	200	added ('OK')	image/png	etag:%223498b2658b501defca66657d24043648%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13228/data/thumb/s-2.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13228/data/thumb/s-2.png	(from https://blog.nxtinteractive.sg/blog/category/experential)
14:12:58	139572/139572	---M--	200	added ('OK')	image/jpeg	etag:%22f47bda30d807a7c9c6fb1bf865e87330%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/6311720f4fbe7_1662087695_new.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/6311720f4fbe7_1662087695_new.jpg	(from https://blog.nxtinteractive.sg/blog/future-of-beauty-cosmetics-industry-in-the-metaverse)
14:12:59	132878/132878	---M--	200	added ('OK')	image/jpeg	etag:%22836e63428c78a26dfa60cc1f3c1c5295%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13490/data/thumb/l-6.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13490/data/thumb/l-6.jpg	(from https://blog.nxtinteractive.sg/blog/future-of-beauty-cosmetics-industry-in-the-metaverse)
14:13:00	111206/111206	---M--	200	added ('OK')	image/jpeg	etag:%22b76cdde7860d4e7d5c2886976758203b%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/6323d3109535c_1663292176_emt.jpeg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/6323d3109535c_1663292176_emt.jpg	(from https://blog.nxtinteractive.sg/blog/event-technology-solutions)
14:13:01	202544/202544	---M--	200	added ('OK')	image/jpeg	etag:%22ec0884c1c74463d5bd48bb2d62a0be76%22	https://s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13848/data/thumb/l-6.jpg	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/blog/blog-post/13848/data/thumb/l-6.jpg	(from https://blog.nxtinteractive.sg/blog/event-technology-solutions)
14:13:03	601411/601411	---M--	200	added ('OK')	image/png	etag:%22dcc56b8dcce09ae616608938ea3504d5%22	https://s3.amazonaws.com/contents.newzenler.com/34045/library/636934a9257dd_1667839145_blog-post-22.png	C:/Users/shubh/Downloads/NXT%20Blogs%20Page/s3.amazonaws.com/contents.newzenler.com/34045/library/636934a9257dd_1667839145_blog-post-22.png	(from https://blog.nxtinteractive.sg/blog/difference-between-centralized-and-decentralized-platforms)
